"","tf","n","dist","avg","low","high","group"
"X310","CEBPB",5378,4,-0.280465089623258,-0.28580537946734,-0.275124799779176,"Nucleosome-SELEX"
"X410","CEBPB",5378,5,-0.277843586431627,-0.28332242623253,-0.272364746630724,"Nucleosome-SELEX"
"X510","CEBPB",5378,6,-0.252842982657328,-0.25848606702404,-0.247199898290616,"Nucleosome-SELEX"
"X610","CEBPB",5378,7,-0.240303895202849,-0.246068592862438,-0.23453919754326,"Nucleosome-SELEX"
"X710","CEBPB",5378,8,-0.219907977071824,-0.225923325706963,-0.213892628436685,"Nucleosome-SELEX"
"X810","CEBPB",5378,9,-0.207016755544392,-0.213178273391139,-0.200855237697645,"Nucleosome-SELEX"
"X98","CEBPB",5378,10,-0.189710838125479,-0.196115176743712,-0.183306499507245,"Nucleosome-SELEX"
"X101","CEBPB",5378,11,-0.185226550766472,-0.191765986184254,-0.17868711534869,"Nucleosome-SELEX"
"X111","CEBPB",5378,12,-0.170865447193469,-0.177627058277226,-0.164103836109712,"Nucleosome-SELEX"
"X121","CEBPB",5378,13,-0.157922508461761,-0.164971795287317,-0.150873221636204,"Nucleosome-SELEX"
"X131","CEBPB",5378,14,-0.14367750736914,-0.150932428723897,-0.136422586014383,"Nucleosome-SELEX"
"X141","CEBPB",5378,15,-0.128630148420952,-0.13612066615224,-0.121139630689664,"Nucleosome-SELEX"
"X151","CEBPB",5378,16,-0.1094057762591,-0.117082855368484,-0.101728697149717,"Nucleosome-SELEX"
"X161","CEBPB",5378,17,-0.0933828782487058,-0.101219175963595,-0.0855465805338167,"Nucleosome-SELEX"
"X171","CEBPB",5378,18,-0.0776320809434931,-0.0856137622999099,-0.0696503995870763,"Nucleosome-SELEX"
"X181","CEBPB",5378,19,-0.061455308173693,-0.0695724769613634,-0.0533381393860226,"Nucleosome-SELEX"
"X191","CEBPB",5378,20,-0.0529494688032763,-0.0611682558319471,-0.0447306817746055,"Nucleosome-SELEX"
"X201","CEBPB",5378,21,-0.0393136825548252,-0.0476838151046274,-0.030943550005023,"Nucleosome-SELEX"
"X211","CEBPB",5378,22,-0.0338668229381437,-0.0422967422647628,-0.0254369036115247,"Nucleosome-SELEX"
"X221","CEBPB",5378,23,-0.0235795709158944,-0.0321414978234675,-0.0150176440083212,"Nucleosome-SELEX"
"X231","CEBPB",5378,24,-0.0174894056624805,-0.0260848152802917,-0.00889399604466924,"Nucleosome-SELEX"
"X241","CEBPB",5378,25,-0.0123090356015705,-0.0209167412380441,-0.00370132996509682,"Nucleosome-SELEX"
"X251","CEBPB",5378,26,-0.00774709349120491,-0.0163618439142875,0.0008676569318777,"Nucleosome-SELEX"
"X261","CEBPB",5378,27,-0.00295973902730197,-0.011583126663719,0.00566364860911505,"Nucleosome-SELEX"
"X271","CEBPB",5378,28,0.00214996806216902,-0.0065131796611472,0.0108131157854852,"Nucleosome-SELEX"
"X281","CEBPB",5378,29,0.00564301053454481,-0.00305693643977633,0.0143429575088659,"Nucleosome-SELEX"
"X291","CEBPB",5378,30,0.00875401693532912,2.29048392982739e-05,0.01748512903136,"Nucleosome-SELEX"
"X301","CEBPB",5378,31,0.0110620956878415,0.00232465895197027,0.0197995324237127,"Nucleosome-SELEX"
"X311","CEBPB",5378,32,0.0117800949633514,0.00307396305904517,0.0204862268676577,"Nucleosome-SELEX"
"X321","CEBPB",5378,33,0.0129406172106421,0.00425041640540757,0.0216308180158765,"Nucleosome-SELEX"
"X331","CEBPB",5378,34,0.0136939678048698,0.0050184745927793,0.0223694610169604,"Nucleosome-SELEX"
"X341","CEBPB",5378,35,0.0154510046454736,0.00676424774789315,0.024137761543054,"Nucleosome-SELEX"
"X351","CEBPB",5378,36,0.0168595139137213,0.00815114978765013,0.0255678780397924,"Nucleosome-SELEX"
"X361","CEBPB",5378,37,0.0189679428124074,0.0102430444526897,0.0276928411721251,"Nucleosome-SELEX"
"X371","CEBPB",5378,38,0.0213297760409626,0.0126000912816646,0.0300594608002606,"Nucleosome-SELEX"
"X381","CEBPB",5378,39,0.0225512932338323,0.0137942327980335,0.031308353669631,"Nucleosome-SELEX"
"X391","CEBPB",5378,40,0.0246253810229816,0.0158234362401162,0.033427325805847,"Nucleosome-SELEX"
"X401","CEBPB",5378,41,0.0263666202794477,0.0175239708743725,0.035209269684523,"Nucleosome-SELEX"
"X411","CEBPB",5378,42,0.0278099369417447,0.0189474781563101,0.0366723957271793,"Nucleosome-SELEX"
"X421","CEBPB",5378,43,0.0291427344090376,0.0202751252856242,0.0380103435324509,"Nucleosome-SELEX"
"X431","CEBPB",5378,44,0.0299962810016614,0.0211346814388137,0.0388578805645091,"Nucleosome-SELEX"
"X441","CEBPB",5378,45,0.0306625459923503,0.0218073602195973,0.0395177317651033,"Nucleosome-SELEX"
"X451","CEBPB",5378,46,0.030844278015543,0.0219982625316544,0.0396902934994315,"Nucleosome-SELEX"
"X461","CEBPB",5378,47,0.0308369333050558,0.0220021963286701,0.0396716702814415,"Nucleosome-SELEX"
"X471","CEBPB",5378,48,0.0324170336836536,0.0235485100487952,0.0412855573185119,"Nucleosome-SELEX"
"X481","CEBPB",5378,49,0.0341370762835452,0.0252314295419693,0.043042723025121,"Nucleosome-SELEX"
"X491","CEBPB",5378,50,0.0342286869905299,0.0253189836796909,0.043138390301369,"Nucleosome-SELEX"
"X501","CEBPB",5378,51,0.0347487218530385,0.0258140552182294,0.0436833884878476,"Nucleosome-SELEX"
"X511","CEBPB",5378,52,0.0343092889312912,0.025359506492929,0.0432590713696533,"Nucleosome-SELEX"
"X521","CEBPB",5378,53,0.0328759565863639,0.0239514110109223,0.0418005021618054,"Nucleosome-SELEX"
"X531","CEBPB",5378,54,0.0315502207789926,0.0226464693286427,0.0404539722293425,"Nucleosome-SELEX"
"X541","CEBPB",5378,55,0.0300693102306201,0.0211901025666394,0.0389485178946008,"Nucleosome-SELEX"
"X551","CEBPB",5378,56,0.0283865178814801,0.0195435590956469,0.0372294766673133,"Nucleosome-SELEX"
