"","tf","n","dist","avg","low","high","group"
"X29144","ETV4",25650,30,-0.0976147514616144,-0.101058944075677,-0.094170558847552,"NCAP-SELEX"
"X30144","ETV4",25650,31,-0.0949545265420244,-0.0984192147230757,-0.0914898383609731,"NCAP-SELEX"
"X31183","ETV4",25650,32,-0.0913544832137473,-0.0948414724065687,-0.0878674940209258,"NCAP-SELEX"
"X32160","ETV4",25650,33,-0.0888002442482348,-0.0923002431652439,-0.0853002453312258,"NCAP-SELEX"
"X33147","ETV4",25650,34,-0.0866914297232769,-0.0901931211415508,-0.083189738305003,"NCAP-SELEX"
"X34144","ETV4",25650,35,-0.0851195880948025,-0.08861597964799,-0.0816231965416151,"NCAP-SELEX"
"X35144","ETV4",25650,36,-0.0840116582192344,-0.0874992324963239,-0.080524083942145,"NCAP-SELEX"
"X36144","ETV4",25650,37,-0.0824612342490089,-0.0859479678710754,-0.0789745006269424,"NCAP-SELEX"
"X37144","ETV4",25650,38,-0.0797806107137667,-0.0832786896826986,-0.0762825317448348,"NCAP-SELEX"
"X38144","ETV4",25650,39,-0.0762424058767704,-0.0797617876403287,-0.0727230241132121,"NCAP-SELEX"
"X39144","ETV4",25650,40,-0.0727695198260257,-0.076316764755306,-0.0692222748967455,"NCAP-SELEX"
"X40144","ETV4",25650,41,-0.0687949859506586,-0.0723731447373359,-0.0652168271639812,"NCAP-SELEX"
"X41183","ETV4",25650,42,-0.0651424349971618,-0.0687509523172567,-0.0615339176770669,"NCAP-SELEX"
"X42160","ETV4",25650,43,-0.0625994141743335,-0.0662265824284647,-0.0589722459202023,"NCAP-SELEX"
"X43147","ETV4",25650,44,-0.0613746150906183,-0.0650069260268948,-0.0577423041543418,"NCAP-SELEX"
"X44144","ETV4",25650,45,-0.0609254674489648,-0.0645493292778525,-0.057301605620077,"NCAP-SELEX"
"X45144","ETV4",25650,46,-0.0607527235321734,-0.0643691690308111,-0.0571362780335357,"NCAP-SELEX"
"X46144","ETV4",25650,47,-0.0603645086170929,-0.0639770650137072,-0.0567519522204785,"NCAP-SELEX"
"X47144","ETV4",25650,48,-0.058110543292284,-0.0617253576015636,-0.0544957289830045,"NCAP-SELEX"
"X48144","ETV4",25650,49,-0.0544543194117081,-0.0580921194824427,-0.0508165193409736,"NCAP-SELEX"
"X49144","ETV4",25650,50,-0.0505329494190934,-0.0541988847605969,-0.0468670140775898,"NCAP-SELEX"
"X50144","ETV4",25650,51,-0.0465298755448279,-0.0502315506524964,-0.0428282004371594,"NCAP-SELEX"
"X51183","ETV4",25650,52,-0.0430709807011007,-0.0468039038838201,-0.0393380575183814,"NCAP-SELEX"
"X52160","ETV4",25650,53,-0.0411547839532255,-0.0449075130483651,-0.0374020548580859,"NCAP-SELEX"
"X53147","ETV4",25650,54,-0.0408687160517069,-0.0446244161460828,-0.037113015957331,"NCAP-SELEX"
"X54144","ETV4",25650,55,-0.0413759213983156,-0.0451226030934756,-0.0376292397031557,"NCAP-SELEX"
"X55144","ETV4",25650,56,-0.0424462237639227,-0.046178822346665,-0.0387136251811804,"NCAP-SELEX"
"X56144","ETV4",25650,57,-0.0437155330439405,-0.0474320329926308,-0.0399990330952502,"NCAP-SELEX"
"X57144","ETV4",25650,58,-0.0440605790651568,-0.0477629339184197,-0.040358224211894,"NCAP-SELEX"
"X58144","ETV4",25650,59,-0.0432364581168452,-0.0469366129782853,-0.0395363032554051,"NCAP-SELEX"
"X59144","ETV4",25650,60,-0.0423917872637708,-0.0461006695549677,-0.0386829049725738,"NCAP-SELEX"
"X60144","ETV4",25650,61,-0.0411156169117212,-0.0448442484309605,-0.037386985392482,"NCAP-SELEX"
"X61183","ETV4",25650,62,-0.038883816147157,-0.0426351907404746,-0.0351324415538395,"NCAP-SELEX"
"X62160","ETV4",25650,63,-0.0373841267322554,-0.0411519407925021,-0.0336163126720086,"NCAP-SELEX"
"X63147","ETV4",25650,64,-0.0371800492221282,-0.040951845500119,-0.0334082529441374,"NCAP-SELEX"
"X64144","ETV4",25650,65,-0.0388956704769743,-0.0426569759475125,-0.035134365006436,"NCAP-SELEX"
"X65144","ETV4",25650,66,-0.0414831014883696,-0.0452231364072207,-0.0377430665695186,"NCAP-SELEX"
"X66144","ETV4",25650,67,-0.0436837055574389,-0.0474006729097603,-0.0399667382051174,"NCAP-SELEX"
"X67144","ETV4",25650,68,-0.0450785304984248,-0.0487762582718028,-0.0413808027250469,"NCAP-SELEX"
"X68144","ETV4",25650,69,-0.0450123701331432,-0.0487017803093154,-0.0413229599569711,"NCAP-SELEX"
