"","tf","n","dist","avg","low","high","group"
"X1113","ALB1",332578,12,-0.108587795954378,-0.108971236793647,-0.108204355115109,"48"
"X1211","ALB1",332578,13,-0.121386469384126,-0.121797868051651,-0.1209750707166,"48"
"X139","ALB1",332578,14,-0.147333096616233,-0.14776241056582,-0.146903782666646,"48"
"X149","ALB1",332578,15,-0.154621045861886,-0.15508278761218,-0.154159304111591,"48"
"X159","ALB1",332578,16,-0.165373862823703,-0.165857747668374,-0.164889977979032,"48"
"X169","ALB1",332578,17,-0.154910907796833,-0.155413040213484,-0.154408775380182,"48"
"X179","ALB1",332578,18,-0.163987693280165,-0.16450683966535,-0.16346854689498,"48"
"X189","ALB1",332578,19,-0.183936294261254,-0.184441779561506,-0.183430808961002,"48"
"X199","ALB1",332578,20,-0.210598132558835,-0.211112289322329,-0.210083975795341,"48"
"X209","ALB1",332578,21,-0.216003849238359,-0.216524817840116,-0.215482880636601,"48"
"X2113","ALB1",332578,22,-0.206544411246379,-0.207082783045675,-0.206006039447083,"48"
"X2211","ALB1",332578,23,-0.202099676209236,-0.202671118340178,-0.201528234078294,"48"
"X239","ALB1",332578,24,-0.191633000254368,-0.192253659691578,-0.191012340817157,"48"
"X249","ALB1",332578,25,-0.168383005778722,-0.16904453629909,-0.167721475258354,"48"
"X259","ALB1",332578,26,-0.16013162526821,-0.160829904120669,-0.159433346415751,"48"
"X269","ALB1",332578,27,-0.161403112730899,-0.162118087145687,-0.160688138316112,"48"
"X279","ALB1",332578,28,-0.140260472642782,-0.141038367913055,-0.139482577372508,"48"
"X289","ALB1",332578,29,-0.100056489182934,-0.100927942732038,-0.0991850356338302,"48"
"X299","ALB1",332578,30,-0.124951529270363,-0.125824277989787,-0.124078780550939,"48"
"X309","ALB1",332578,31,-0.10092324288322,-0.101868155704477,-0.0999783300619631,"48"
"X3113","ALB1",332578,32,-0.0846411230669103,-0.0856117446492571,-0.0836705014845636,"48"
"X3211","ALB1",332578,33,-0.086658183978223,-0.0876364628024223,-0.0856799051540236,"48"
