Corr_coeff	first_sample	second_sample
0.885611283851058	NCP-W601-FOXA1-Round4-Rep2	NCP-ALB1-FOXA1-Round4-Rep2
0.922083518422255	NCP-W601-FOXA1-Round4-Rep2	NCP-CX3-FOXA1-Round4-Rep2
0.892154895674596	NCP-W601-FOXA1-Round4-Rep2	NCP-NRCAM-FOXA1-Round4-Rep2
0.729586606867484	NCP-W601-GATA1-Round4-Rep1	NCP-ALB1-GATA1-Round4-Rep1
0.718774617060897	NCP-W601-GATA1-Round4-Rep1	NCP-CX3-GATA1-Round4-Rep1
0.739290512321605	NCP-W601-GATA1-Round4-Rep1	NCP-NRCAM-GATA1-Round4-Rep1
0.867300176282289	NCP-W601-GATA1-Round4-Rep2	NCP-ALB1-GATA1-Round4-Rep2
0.90263588332779	NCP-W601-GATA1-Round4-Rep2	NCP-CX3-GATA1-Round4-Rep2
0.878515123160685	NCP-W601-GATA1-Round4-Rep2	NCP-NRCAM-GATA1-Round4-Rep2
0.73878588737179	NCP-W601-GATA4-Round4-Rep1	NCP-ALB1-GATA4-Round4-Rep1
0.795874299080761	NCP-W601-GATA4-Round4-Rep1	NCP-CX3-GATA4-Round4-Rep1
0.770641840052289	NCP-W601-GATA4-Round4-Rep1	NCP-NRCAM-GATA4-Round4-Rep1
0.81497448801626	NCP-W601-GATA4-Round4-Rep2	NCP-ALB1-GATA4-Round4-Rep2
0.854836285271195	NCP-W601-GATA4-Round4-Rep2	NCP-CX3-GATA4-Round4-Rep2
0.820138734961134	NCP-W601-GATA4-Round4-Rep2	NCP-NRCAM-GATA4-Round4-Rep2
0.934832218597754	NCP-W601-OCT4-Round4-Rep1	NCP-ALB1-OCT4-Round4-Rep1
0.937871298628448	NCP-W601-OCT4-Round4-Rep1	NCP-CX3-OCT4-Round4-Rep1
0.944709389053804	NCP-W601-OCT4-Round4-Rep1	NCP-NRCAM-OCT4-Round4-Rep1
0.841410444039756	NCP-W601-OCT4-Round4-Rep2	NCP-ALB1-OCT4-Round4-Rep2
0.84686458870026	NCP-W601-OCT4-Round4-Rep2	NCP-CX3-OCT4-Round4-Rep2
0.849104586181798	NCP-W601-OCT4-Round4-Rep2	NCP-NRCAM-OCT4-Round4-Rep2
0.549526798826745	NCP-W601-PAX7-Round4-Rep1	NCP-ALB1-PAX7-Round4-Rep1
0.552665739707867	NCP-W601-PAX7-Round4-Rep1	NCP-CX3-PAX7-Round4-Rep1
0.677760844233344	NCP-W601-PAX7-Round4-Rep1	NCP-NRCAM-PAX7-Round4-Rep1
0.761737908627398	NCP-W601-PAX7-Round4-Rep2	NCP-ALB1-PAX7-Round4-Rep2
0.740660186464259	NCP-W601-PAX7-Round4-Rep2	NCP-CX3-PAX7-Round4-Rep2
0.779201041220745	NCP-W601-PAX7-Round4-Rep2	NCP-NRCAM-PAX7-Round4-Rep2
0.741674361937678	NCP-W601-RUNX2-Round4-Rep1	NCP-ALB1-RUNX2-Round4-Rep1
0.758897448030338	NCP-W601-RUNX2-Round4-Rep1	NCP-CX3-RUNX2-Round4-Rep1
0.627682002478064	NCP-W601-RUNX2-Round4-Rep1	NCP-NRCAM-RUNX2-Round4-Rep1
0.657328226864246	NCP-W601-RUNX2-Round4-Rep2	NCP-ALB1-RUNX2-Round4-Rep2
0.67222573562497	NCP-W601-RUNX2-Round4-Rep2	NCP-CX3-RUNX2-Round4-Rep2
0.505282775950194	NCP-W601-RUNX2-Round4-Rep2	NCP-NRCAM-RUNX2-Round4-Rep2
